p_value,geodesic_worst_distance,resistance_worst_distance,guf_worst_distance
1,0.06441078092789411,0.06460538855829194,0.06441078092789411
2,0.05127082028955019,0.051509463031108184,0.05127082028955019
3,0.0441429349292454,0.05067413956990334,0.03959614874900734
4,0.033997256730836846,0.0343372237379661,0.033982511994610935
5,0.033997256730836846,0.0343372237379661,0.03403346978540815
6,0.0304882558895997,0.0343372237379661,0.03403346978540815
7,0.030156388567944753,0.033982511994610935,0.03403346978540815
8,0.0282002806786353,0.033982511994610935,0.03403346978540815
9,0.0282002806786353,0.033982511994610935,0.03403346978540815
